id;c_in;nom;prenom;age;statut
1;bluetooth reboot;Bretagne;withdrawal;76868;Lek
2;a;calculate;Incredible Chicken Buckinghamshire;6863;hierarchy Directeur
3;RAM Assimilated Agent;d'Orsel;deposit ivory;36963;Analyste
4;Refined;web-enabled Loan;Wooden;78038;harness
5;approach c;redefine SSL;Plastic Lorraine withdrawal;71497;Manager users
6;customized indexing;Rubber indigo Niger;online olive Sports;15252;du IB Beauty
7;Tuna;matrix Licensed a;pixel;53121;a Shoes cross-platform
8;ivory next-generation;Keyboard Outdoors;ivory;50695;neutral
9;open-source AGP Corse;Fantastic Basse-Normandie Loti;Awesome c transform;85925;Tasty Charron
10;Kids Pula;b a;Mexican Avon;23938;de Loan
